# public-custody.tsv — exact registry of every Lean source retained here.
# columns: path<TAB>surface-role<TAB>stable-surface-owners
# Use '-' when a public-evidence or repository-aggregate source has no stable
# owner. Owner lists are comma-separated and must match the transitive closures
# rooted in stable-surfaces.tsv exactly.
LeanProofs.lean	REPOSITORY-AGGREGATE	-
LeanProofs/Admissibility/ActorTraceSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AdmissibilityKernels.lean	STABLE-SURFACE	admissibility-kernels
LeanProofs/Admissibility/AmendmentFragment.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AttestationLedger.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Authority.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace,view-semantics
LeanProofs/Admissibility/AuthorityScope.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AuthorizedNotSafe.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AuthorizedNotSafeWitness.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AuthorizedStepNotSafe.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AuthorizedStepNotSafeWitness.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/AxisSkew.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/BridgeCustomsSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/BudgetMerge.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Calculus.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/Calculus/Core.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/Calculus/Instances/BoundedPaidReachability.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/Calculus/Instances/BoundedPaidReachability/Native.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/Calculus/Instances/Weathering.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/Calculus/Instances/Weathering/Native.lean	STABLE-SURFACE	admissibility-calculus
LeanProofs/Admissibility/ClosureEligibility.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Composition.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ConsequencePartition.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ConsolidationDenial.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ContractionHinge.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Corrective.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace,view-semantics
LeanProofs/Admissibility/CorrectiveBoundary.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/CrossBoundaryCascade.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/CrossBoundaryDegradation.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/CrossBoundaryExposure.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/CrossBoundaryFailureMint.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/CustodyFreshnessSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/DeferredWitness.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Derivation.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace,view-semantics
LeanProofs/Admissibility/DynamicTrace.lean	STABLE-SURFACE	dynamic-trace,view-semantics
LeanProofs/Admissibility/Examples.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Execution.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace,view-semantics
LeanProofs/Admissibility/FiatAdmissibility.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/Freshness.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace
LeanProofs/Admissibility/FreshnessDynamicTrace.lean	STABLE-SURFACE	dynamic-trace
LeanProofs/Admissibility/MergeConflict.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/NoFreeStandingBridge.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/NumericalAdmissibility.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/PathVerdict.lean	STABLE-SURFACE	path-verdict
LeanProofs/Admissibility/PathVerdict/Core.lean	STABLE-SURFACE	path-verdict
LeanProofs/Admissibility/PathVerdict/Domains.lean	STABLE-SURFACE	path-verdict
LeanProofs/Admissibility/PathVerdict/Edges.lean	STABLE-SURFACE	path-verdict
LeanProofs/Admissibility/PathVerdict/Evidence.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/PathVerdict/EvidencePromotionCoverage.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/PathVerdict/Located.lean	STABLE-SURFACE	path-verdict
LeanProofs/Admissibility/PathVerdict/StandardObstructions.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/PredicateWitnessSeparation.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ProjectionLaundering.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/PublicReceiptRefinement.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/RRPProfileSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ReachabilityClosure.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/RecoveryMargin.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/RetroactiveLegitimation.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/SafetyBridge.lean	STABLE-SURFACE	safety-bridge
LeanProofs/Admissibility/SafetyBridgeWitness.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/SafetyTrajectory.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/ScopedCertification.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/SpendabilitySpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/StaleEvidenceMerge.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/StandingProfileSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/StateTransition.lean	STABLE-SURFACE	admissibility-kernels,dynamic-trace,view-semantics
LeanProofs/Admissibility/SurfaceAuthorization.lean	STABLE-SURFACE	admissibility-kernels
LeanProofs/Admissibility/TemporalBasis.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/WLPAppendAckSpecimen.lean	PUBLIC-EVIDENCE	-
LeanProofs/Admissibility/WitnessInvariance.lean	STABLE-SURFACE	admissibility-kernels
LeanProofs/Admissibility/WitnessedReachability.lean	PUBLIC-EVIDENCE	-
LeanProofs/BoundedCalculi.lean	PUBLIC-EVIDENCE	-
LeanProofs/BoundedCalculi/BootKernel.lean	PUBLIC-EVIDENCE	-
LeanProofs/BoundedCalculi/BoundaryArtifact.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/CheckpointSettlement.lean	PUBLIC-EVIDENCE	-
LeanProofs/BoundedCalculi/ExecutionCustody.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/MeasureAccounting.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/ObligationResidue.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/RefusalDenial.lean	PUBLIC-EVIDENCE	-
LeanProofs/BoundedCalculi/SafetyPreservation.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/SurfaceProjection.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BoundedCalculi/TemporalCustody.lean	STABLE-SURFACE	custody-indexed
LeanProofs/BranchSelector.lean	PUBLIC-EVIDENCE	-
